category_truth,text
Monetization Platform,"Subject: Ongoing issue: invoice-service

Hi team, Invoice generation job has been failing since 17:40, 120 invoices stuck in pending.
Impact is still growing per the last check. Roughly 24% of attempts are affected.
Hope this can be sorted soon.
Regards,
Kate"
Identity Platform,"Monitoring picked this up a few minutes ago: device-auth-service (SEV1) - device activation code validation failing, 9% of TV sign-ins erroring since the 08:30 deploy. Needs an owner before it breaches further."
Data Platform,"On-call summary from the last page: feature-store-service (SEV1) - online feature freshness lag at 27m on redis-feature-online, 18% stale features being served. Reference SF-3371 from an earlier report that looks related. Started around 13:40 UTC. Paging felt premature so filing here."
Content Discovery,Monitoring picked this up a few minutes ago: search-service (SEV3) - search index shard 2 is red and results are missing recent titles. Nothing obvious in the last deploy diff. Mostly ap-south-1 traffic from what we can tell. Auto-remediation did not kick in.
Core Platform,"quick flag: re edge-router: edge-router config reload is flapping listeners, brief full outages every 5m. first noticed by the sev1 bridge during triage. cc on-call."
Identity Platform,"raising this here first: seeing this on auth-service - admin lockout spike after the MFA provider policy refresh, 74 lockouts with northstar-mfa enforcement flipped from gradual to strict. a restart made it better for about ten minutes. will open a ticket if it persists."
Monetization Platform,"Subject: [Customer report] my account

Hi support, I cannot update my card details, the page errors out every time I hit save.
Nothing obvious in the last deploy diff.
Let me know if you need more details.
Best,
Kate"
Core Platform,"Issue summary: Half the app shows the new layout and half the old one
Affected area: production
Description: Half the app shows the new layout and half the old one, it flips between refreshes. Impact is still growing per the last check. A restart made it better for about ten minutes.
Impact: Internal workflow blocked
First noticed: 23:05 UTC"
Content Discovery,"Issue summary: The app keeps suggesting kids' cartoons on my adult profile out of nowhere
Affected area: recommendation-service (prod)
Description: The app keeps suggesting kids' cartoons on my adult profile out of nowhere.
Impact: Revenue impacting
First noticed: 10:30 UTC"
Streaming Platform,"Issue summary: The stream starts and then immediately errors out with a media error code
Affected area: manifest-service
Description: The stream starts and then immediately errors out with a media error code. Happens on both web and the TV app.
Impact: Intermittent but recurring
First noticed: 07:15 UTC"
Content Discovery,heads up - seeing this on personalization-service - my continue watching row vanished and my list order is completely scrambled. reference sf-4571 from an earlier report that looks related. who owns this?
Monetization Platform,"hey folks, re billing-service: billing-api capture latency at 3000ms with CPUThrottlingHigh, throttled ratio 0.81. cc on-call."
Data Platform,fyi - seeing this on ml-ranking-service - ranking endpoint p99 at 2100ms with 6% inference errors after the model refresh. first noticed by the sev2 bridge during triage. can someone take a look?
Identity Platform,"not sure if known, but auth-service: login queue depth at 6800 with MFA verification latency 2500ms and the HPA already at max replicas."
User Engagement,"Subject: Ongoing issue: streaming account

Good morning, Signup confirmation emails are not arriving so I cannot verify my address.
Nothing obvious in the last deploy diff. Impact is still growing per the last check.
Hope this can be sorted soon.
- Marco"
Content Discovery,Alertmanager fired and here is the summary: recommendation-service (SEV2) - online feature freshness lag exceeds 44m and ranking quality metrics are regressing. Impact is still growing per the last check. Needs an owner before it breaches further.
Monetization Platform,anyone else seeing this? invoice-service: invoice PDFs rendering with the wrong tax lines after the template deploy. can someone take a look?
Core Platform,"Alertmanager fired and here is the summary: api-gateway (SEV1) - gateway worker restarts spiking after the timeout tuning change, 7 restarts in 20m. Impact is still growing per the last check."
Streaming Platform,"Subject: Help needed - subtitle-service

To whom it may concern, Captions will not turn on at all for some shows even though the setting is enabled.
A restart made it better for about ten minutes. Mostly us-west-2 traffic from what we can tell.
Please advise.
Regards,
Tunde"
Monetization Platform,Monitoring picked this up a few minutes ago: subscription-service (SEV3) - renewal processing backlog at 980 accounts and renewals are failing silently.
User Engagement,"Monitoring picked this up a few minutes ago: watchlist-service (SEV1) - watchlist writes returning 409 conflicts, 120 per minute after the schema change. Impact is still growing per the last check."
Core Platform,"Subject: Ongoing issue: api-gateway

Hi team, The whole app errors out intermittently, different screens but the same something-went-wrong message.
Started around 02:45 UTC. Impact is still growing per the last check.
Please advise.
- Devon"
Monetization Platform,"Monitoring picked this up a few minutes ago: invoice-service (SEV1) - invoice PDFs rendering with the wrong tax lines after the template deploy. A restart made it better for about ten minutes. Runbook link was stale, routing to you."
Data Platform,"Issue summary: Downstream ranking consumers report our features are 24 minutes stale and quality metrics are dipping
Affected area: feature-store-service
Description: Downstream ranking consumers report our features are 24 minutes stale and quality metrics are dipping. Reference SF-7778 from an earlier report that looks related.
Impact: Internal workflow blocked
First noticed: 22:05 UTC"
Content Discovery,"Issue summary: Resume points are gone
Affected area: personalization-service (prod)
Description: Resume points are gone, every episode starts from the beginning again.
Impact: Intermittent but recurring
First noticed: 02:25 UTC"
Core Platform,"anyone else seeing this? config-service: config watchers disconnected after the etcd failover, 2400 stale clients. first noticed by the sev3 bridge during triage. can someone take a look?"
Monetization Platform,"Issue summary: My invoice for last month never arrived and the billing history page shows nothing
Affected area: invoice-service (prod)
Description: My invoice for last month never arrived and the billing history page shows nothing.
Impact: Internal workflow blocked
First noticed: 17:45 UTC"
Monetization Platform,"Subject: Urgent: streaming account

Hello, Plan-change events are not applying, 218 accounts stuck between tiers since the deploy.
Impact is still growing per the last check. Reference SF-9569 from an earlier report that looks related.
Thanks!
Best,
Ravi"
Identity Platform,"Paraphrasing the page we just got: profile-service (SEV1) - profile preference writes timing out at 3000ms after the session cache change. Nothing obvious in the last deploy diff. Retried after clearing cache, no change. Paging felt premature so filing here."
Identity Platform,raising this here first: account-service: account creation flow erroring at the final step for 20% of signups since 12:25. will open a ticket if it persists.
Streaming Platform,"Translating the alert for this queue: playback-service (SEV2) - playback-api pods are being OOMKilled, memory working set exceeded the 1024Mi limit, restart count up 9 on pod playback-api-f2d5. Retried after clearing cache, no change."
User Engagement,"Issue summary: Transactional email bounce rate up 11% since 22:05
Affected area: production
Description: Transactional email bounce rate up 11% since 22:05, password-reset sends stuck in queue.
Impact: Single account affected
First noticed: 05:00 UTC"
Monetization Platform,"fyi - re billing-service: payment-captures consumers are 184k messages behind and reconciliation freshness has breached its SLO, oldest lag 34m. first noticed by the sev3 bridge during triage. happy to hop on a call."
Content Discovery,"Issue summary: Metadata enrichment queue backed up 47m
Affected area: metadata-service (prod)
Description: Metadata enrichment queue backed up 47m, new titles rendering with placeholder text.
Impact: Widespread, still growing
First noticed: 23:00 UTC"
Data Platform,"Issue summary: The engagement dashboard has not updated since yesterday morning
Affected area: analytics-service
Description: The engagement dashboard has not updated since yesterday morning.
Impact: Multiple customers affected
First noticed: 11:30 UTC"
Monetization Platform,On-call summary from the last page: invoice-service (SEV3) - invoice PDFs rendering with the wrong tax lines after the template deploy. A restart made it better for about ten minutes.
Data Platform,"hey folks, re analytics-service: nightly aggregation job failed 3 times in a row, exec dashboards stale by 18h. happens on both web and the tv app. cc on-call."
Identity Platform,"Issue summary: Profile preference writes timing out at 2000ms after the session cache change
Affected area: production
Description: Profile preference writes timing out at 2000ms after the session cache change. Mostly us-west-2 traffic from what we can tell.
Impact: Intermittent but recurring
First noticed: 13:50 UTC"
Streaming Platform,"Subject: Problem with the app

Hi team, P99 playback start latency breached the 2500ms SLO in us-west-2 for 49m, currently 4200ms, and customers report buffering.
First noticed by the SEV3 bridge during triage. Reference SF-7046 from an earlier report that looks related.
Let me know if you need more details.
- Devon"
Monetization Platform,Alertmanager fired and here is the summary: subscription-service (SEV3) - renewal processing backlog at 340 accounts and renewals are failing silently. Reference SF-8577 from an earlier report that looks related.
Identity Platform,"Alertmanager fired and here is the summary: auth-service (SEV1) - mTLS handshakes failing since the identity-api service certificate expired, 2400 handshake failures and counting. A restart made it better for about ten minutes. Runbook link was stale, routing to you."
Content Discovery,"Issue summary: A movie I was watching yesterday has vanished from the entire catalog
Affected area: catalog-service (prod)
Description: A movie I was watching yesterday has vanished from the entire catalog. Impact is still growing per the last check.
Impact: Internal workflow blocked
First noticed: 15:05 UTC"
Streaming Platform,"Issue summary: Subtitle-service sidecar sync is lagging 55m so tracks are missing on fresh titles
Affected area: subtitle-service (prod)
Description: Subtitle-service sidecar sync is lagging 55m so tracks are missing on fresh titles. A restart made it better for about ten minutes.
Impact: Intermittent but recurring
First noticed: 06:10 UTC"
Content Discovery,quick flag: search-service: search p99 at 3800ms with 13% of queries timing out since the index rebuild. first noticed by the sev2 bridge during triage. who owns this?
Content Discovery,"quick flag: personalization-service in prod: personalized shelf ordering is falling back to editorial defaults, override rate 13%. happens on both web and the tv app. started around 00:25 utc. happy to hop on a call."
Content Discovery,"Paraphrasing the page we just got: search-service (SEV1) - search p99 at 3100ms with 11% of queries timing out since the index rebuild. Roughly 6% of attempts are affected. Runbook link was stale, routing to you."
Content Discovery,"Alertmanager fired and here is the summary: metadata-service (SEV2) - metadata reads serving stale artwork and descriptions after a cache invalidation misfired, 9% mismatch rate. Mostly eu-west-1 traffic from what we can tell. Paging felt premature so filing here."
Content Discovery,"Subject: Problem with my account

Hey, A movie I was watching yesterday has vanished from the entire catalog.
Mostly us-east-1 traffic from what we can tell.
Please advise.
Cheers,
Kate"
Data Platform,"Issue summary: The engagement dashboard has not updated since yesterday morning
Affected area: analytics-service (prod)
Description: The engagement dashboard has not updated since yesterday morning. Started around 06:40 UTC.
Impact: Single account affected
First noticed: 19:10 UTC"
User Engagement,"Subject: [Customer report] streaming account

Hey, Transactional email bounce rate up 28% since 17:15, password-reset sends stuck in queue.
Impact is still growing per the last check.
Appreciate any help.
Cheers,
Jordan"
Data Platform,"Paraphrasing the page we just got: ml-ranking-service (SEV3) - ml-ranking-service pods evicted under node memory pressure, scores falling back to popularity. Roughly 20% of attempts are affected. Paging felt premature so filing here."
User Engagement,"On-call summary from the last page: ratings-service (SEV1) - ratings ingestion lagging 49m, thumbs signals not persisting downstream. Paging felt premature so filing here."
Streaming Platform,"Issue summary: Subtitles are out of sync by a few seconds on everything I watch
Affected area: subtitle-service (prod)
Description: Subtitles are out of sync by a few seconds on everything I watch. Nothing obvious in the last deploy diff.
Impact: Revenue impacting
First noticed: 03:00 UTC"
Content Discovery,"Translating the alert for this queue: metadata-service (SEV3) - metadata reads serving stale artwork and descriptions after a cache invalidation misfired, 8% mismatch rate. First noticed by the SEV1 bridge during triage."
User Engagement,"Issue summary: Watchlist reads intermittently empty
Affected area: production
Description: Watchlist reads intermittently empty, cache and store disagree for 36% of users. Reference SF-4366 from an earlier report that looks related.
Impact: Widespread, still growing
First noticed: 04:50 UTC"
Data Platform,"Subject: Problem with service degradation

Hi team, Client events from last night are missing downstream, there is a gap starting around 21:00.
Started around 03:30 UTC.
Can someone take a look?
- Sam"
Content Discovery,"On-call summary from the last page: metadata-service (SEV2) - metadata reads serving stale artwork and descriptions after a cache invalidation misfired, 14% mismatch rate. Reference SF-1901 from an earlier report that looks related. Mostly eu-west-1 traffic from what we can tell."
Data Platform,"anyone else seeing this? re event-ingestion-service: client events from last night are missing downstream, there is a gap starting around 19:00. happens on both web and the tv app. can someone take a look?"
Core Platform,"Issue summary: Every few minutes the app logs me to an error page no matter what I tap
Affected area: api-gateway
Description: Every few minutes the app logs me to an error page no matter what I tap. Impact is still growing per the last check. Started around 05:25 UTC.
Impact: Multiple customers affected
First noticed: 09:35 UTC"
Streaming Platform,"anyone else seeing this? license-service: license-service error rate jumped after the key-rotation job, 980 denials in the last hour. thread me if you need logs."
Monetization Platform,"Subject: Problem with service degradation

Hi team, I upgraded to the premium plan but my account still shows the basic tier.
Retried after clearing cache, no change.
Thanks in advance.
- Ravi"
Content Discovery,"Issue summary: Episode descriptions are attached to the wrong shows and the thumbnails are mixed up too
Affected area: production
Description: Episode descriptions are attached to the wrong shows and the thumbnails are mixed up too.
Impact: Multiple customers affected
First noticed: 02:50 UTC"
Core Platform,"Alertmanager fired and here is the summary: edge-router (SEV1) - TLS handshake errors at the edge in eu-west-1, 2400 per minute and upstream resets climbing. Roughly 13% of attempts are affected. Paging felt premature so filing here."
Identity Platform,"Alertmanager fired and here is the summary: device-auth-service (SEV2) - device token issuance p99 at 1800ms and set-top boxes retry-storming. Retried after clearing cache, no change. Needs an owner before it breaches further."
User Engagement,"Alertmanager fired and here is the summary: ratings-service (SEV1) - ratings write path erroring for 8% of events since 09:30. Retried after clearing cache, no change. Mostly us-west-2 traffic from what we can tell. Auto-remediation did not kick in."
Monetization Platform,"Monitoring picked this up a few minutes ago: billing-service (SEV2) - payment-captures consumers are 140k messages behind and reconciliation freshness has breached its SLO, oldest lag 30m. Happens on both web and the TV app. Runbook link was stale, routing to you."
User Engagement,"anyone else seeing this? notification-service: in-app notification fanout delayed 41m, queue depth 6800 and climbing. cc on-call."
Monetization Platform,"Issue summary: Invoice generation job has been failing since 17:05
Affected area: production
Description: Invoice generation job has been failing since 17:05, 3200 invoices stuck in pending.
Impact: Internal workflow blocked
First noticed: 21:05 UTC"
Streaming Platform,"Issue summary: A movie says content not licensed for playback but it played fine yesterday
Affected area: license-service
Description: A movie says content not licensed for playback but it played fine yesterday. Happens on both web and the TV app.
Impact: Widespread, still growing
First noticed: 17:50 UTC"
Core Platform,"Subject: Ongoing issue: my account

Hey, The site will not load at all from my location, it times out before anything appears.
Nothing obvious in the last deploy diff.
Can someone take a look?
Thanks,
Ingrid"
Content Discovery,"Issue summary: Metadata enrichment queue backed up 32m
Affected area: metadata-service
Description: Metadata enrichment queue backed up 32m, new titles rendering with placeholder text.
Impact: Single account affected
First noticed: 04:50 UTC"
Content Discovery,"Issue summary: Metadata enrichment queue backed up 54m
Affected area: metadata-service
Description: Metadata enrichment queue backed up 54m, new titles rendering with placeholder text. Roughly 24% of attempts are affected.
Impact: Intermittent but recurring
First noticed: 14:25 UTC"
User Engagement,"hey folks, re push-service: APNs and FCM push delivery failing for 27% of devices since the token migration."
User Engagement,"fyi - seeing this on notification-service - in-app notification fanout delayed 38m, queue depth 1860 and climbing. cc on-call."
Content Discovery,"On-call summary from the last page: personalization-service (SEV1) - continue-watching row assembly failing for 8% of sessions since 06:00. Nothing obvious in the last deploy diff. Runbook link was stale, routing to you."
Data Platform,"Issue summary: Event-ingestion-service dropping malformed batches since the schema bump
Affected area: production
Description: Event-ingestion-service dropping malformed batches since the schema bump, 19% reject rate. Reference SF-6135 from an earlier report that looks related.
Impact: Multiple customers affected
First noticed: 07:50 UTC"
Monetization Platform,"Issue summary: Card authorization error rate up 6% since 08:50
Affected area: payment-service (prod)
Description: Card authorization error rate up 6% since 08:50, issuer responses slow across the board. Retried after clearing cache, no change.
Impact: Intermittent but recurring
First noticed: 19:25 UTC"
Streaming Platform,"On-call summary from the last page: license-service (SEV1) - DRM license acquisition is failing for ~20% of session starts, license grants timing out at 3000ms. Roughly 22% of attempts are affected. Mostly us-west-2 traffic from what we can tell."
Data Platform,"Issue summary: The engagement dashboard has not updated since yesterday morning
Affected area: analytics-service (prod)
Description: The engagement dashboard has not updated since yesterday morning. First noticed by the SEV1 bridge during triage. Happens on both web and the TV app.
Impact: Intermittent but recurring
First noticed: 07:15 UTC"
Identity Platform,"Subject: [Customer report] service degradation

Good morning, The activation code from my TV always says expired even when I type it in right away.
Happens on both web and the TV app.
Thanks in advance.
Thanks,
Ingrid"
Core Platform,"Subject: [Customer report] edge-router

Hi team, The site will not load at all from my location, it times out before anything appears.
A restart made it better for about ten minutes. Nothing obvious in the last deploy diff.
Thanks!
Cheers,
Ingrid"
Identity Platform,"On-call summary from the last page: device-auth-service (SEV1) - device token issuance p99 at 2000ms and set-top boxes retry-storming. A restart made it better for about ten minutes. Runbook link was stale, routing to you."
Monetization Platform,"hey folks, invoice-service: invoice generation job has been failing since 07:15, 218 invoices stuck in pending. a restart made it better for about ten minutes. cc on-call."
Streaming Platform,On-call summary from the last page: manifest-service (SEV1) - manifest fetch p99 is at 3420ms and players are falling back to stale manifests. First noticed by the SEV2 bridge during triage. Paging felt premature so filing here.
Content Discovery,"Alertmanager fired and here is the summary: catalog-service (SEV3) - catalog listing endpoints returning partial rows, 23% of shelf requests missing items. First noticed by the SEV2 bridge during triage. Needs an owner before it breaches further."
Data Platform,"Translating the alert for this queue: event-ingestion-service (SEV2) - ingest topic backlog at 9M events, consumer lag growing 1840k per minute. Runbook link was stale, routing to you."
Content Discovery,"On-call summary from the last page: metadata-service (SEV2) - metadata reads serving stale artwork and descriptions after a cache invalidation misfired, 19% mismatch rate. Roughly 33% of attempts are affected. Runbook link was stale, routing to you."
Core Platform,"fyi - seeing this on edge-router - edge-router config reload is flapping listeners, brief full outages every 2m. happens on both web and the tv app. roughly 18% of attempts are affected. cc on-call."
Core Platform,"raising this here first: seeing this on config-service - config watchers disconnected after the etcd failover, 2400 stale clients. nothing obvious in the last deploy diff. first noticed by the sev2 bridge during triage."
Monetization Platform,"hey folks, payment-service in prod: payment-gateway authorizations timing out at 3000ms on 12% of attempts, retries piling up. retried after clearing cache, no change."
User Engagement,"Paraphrasing the page we just got: email-service (SEV2) - transactional email bounce rate up 20% since 04:50, password-reset sends stuck in queue. Paging felt premature so filing here."
Identity Platform,"raising this here first: device-auth-service: device activation code validation failing, 6% of TV sign-ins erroring since the 02:45 deploy. who owns this?"
Monetization Platform,"heads up - re billing-service: duplicate payment captures detected in the ledger reconciliation job, 3200 duplicates in batch ledger-20260617-28. roughly 34% of attempts are affected. cc on-call."
Monetization Platform,"quick flag: seeing this on invoice-service - invoice PDFs rendering with the wrong tax lines after the template deploy. retried after clearing cache, no change."
Identity Platform,"Subject: Urgent: the app

Hi support, My TV keeps asking me to sign in again every time I open the app.
Started around 08:20 UTC.
Thanks!
Cheers,
Ravi"
Core Platform,"Issue summary: Dashboards for my service show gaps for the last hour
Affected area: observability-service
Description: Dashboards for my service show gaps for the last hour, traces are missing too.
Impact: Widespread, still growing
First noticed: 02:15 UTC"
Core Platform,"Issue summary: Dashboards for my service show gaps for the last hour
Affected area: production
Description: Dashboards for my service show gaps for the last hour, traces are missing too. A restart made it better for about ten minutes.
Impact: Multiple customers affected
First noticed: 04:00 UTC"
Streaming Platform,raising this here first: manifest-service in prod: manifest fetch p99 is at 3420ms and players are falling back to stale manifests. roughly 7% of attempts are affected. who owns this?
User Engagement,"Monitoring picked this up a few minutes ago: email-service (SEV2) - transactional email bounce rate up 26% since 15:55, password-reset sends stuck in queue. Impact is still growing per the last check. Auto-remediation did not kick in."
Identity Platform,"Issue summary: My account details page will not load
Affected area: account-service (prod)
Description: My account details page will not load, it just spins forever.
Impact: Revenue impacting
First noticed: 06:15 UTC"
Data Platform,fyi - re ml-ranking-service: ranking endpoint p99 at 3800ms with 8% inference errors after the model refresh. will open a ticket if it persists.
Monetization Platform,"Issue summary: I cannot update my card details
Affected area: payment-service (prod)
Description: I cannot update my card details, the page errors out every time I hit save.
Impact: Multiple customers affected
First noticed: 17:30 UTC"
Monetization Platform,"not sure if known, but payment-service in prod: payment-gateway authorizations timing out at 1800ms on 21% of attempts, retries piling up. happy to hop on a call."
User Engagement,"On-call summary from the last page: notification-service (SEV1) - notification dedupe cache flushed during the deploy, users receiving repeats. Paging felt premature so filing here."
Monetization Platform,"Subject: Help needed - production issue

Hey, My invoice for last month never arrived and the billing history page shows nothing.
Reference SF-6500 from an earlier report that looks related.
Please advise.
- Alex"
Content Discovery,"Subject: Help needed - service degradation

Hey, The new season released today but it does not show up anywhere in the app.
Mostly ap-south-1 traffic from what we can tell.
Please advise.
Thanks,
Marco"
Core Platform,"Issue summary: The whole app errors out intermittently
Affected area: production
Description: The whole app errors out intermittently, different screens but the same something-went-wrong message. Roughly 6% of attempts are affected.
Impact: Revenue impacting
First noticed: 12:55 UTC"
User Engagement,"Issue summary: Push token refresh job crashlooping
Affected area: production
Description: Push token refresh job crashlooping, delivery receipts down 32% day over day. Started around 09:15 UTC. Happens on both web and the TV app.
Impact: Revenue impacting
First noticed: 06:50 UTC"
User Engagement,"Issue summary: Titles I add to my list disappear as soon as I refresh
Affected area: watchlist-service (prod)
Description: Titles I add to my list disappear as soon as I refresh. Happens on both web and the TV app.
Impact: Internal workflow blocked
First noticed: 14:50 UTC"
Streaming Platform,"Issue summary: Manifest endpoints returning intermittent 5xx since the cache TTL change
Affected area: production
Description: Manifest endpoints returning intermittent 5xx since the cache TTL change, 32% of fetches affected. A restart made it better for about ten minutes.
Impact: Revenue impacting
First noticed: 22:30 UTC"
Identity Platform,"Issue summary: The activation code from my TV always says expired even when I type it in right away
Affected area: device-auth-service (prod)
Description: The activation code from my TV always says expired even when I type it in right away. Roughly 21% of attempts are affected. Nothing obvious in the last deploy diff.
Impact: Intermittent but recurring
First noticed: 17:20 UTC"
Identity Platform,"Subject: [Customer report] my account

Hi team, Admin lockout spike after the MFA provider policy refresh, 2400 lockouts with northstar-mfa enforcement flipped from gradual to strict.
Impact is still growing per the last check.
Thanks!
Best,
Tunde"
Identity Platform,"Issue summary: Admin lockout spike after the MFA provider policy refresh
Affected area: auth-service
Description: Admin lockout spike after the MFA provider policy refresh, 340 lockouts with northstar-mfa enforcement flipped from gradual to strict. Impact is still growing per the last check.
Impact: Multiple customers affected
First noticed: 22:35 UTC"
User Engagement,"Translating the alert for this queue: watchlist-service (SEV1) - watchlist writes returning 409 conflicts, 980 per minute after the schema change. Reference SF-1782 from an earlier report that looks related. Mostly eu-west-1 traffic from what we can tell. Auto-remediation did not kick in."
Content Discovery,"Translating the alert for this queue: metadata-service (SEV1) - metadata enrichment queue backed up 46m, new titles rendering with placeholder text. Reference SF-6364 from an earlier report that looks related. Needs an owner before it breaches further."
User Engagement,"Alertmanager fired and here is the summary: email-service (SEV2) - transactional email bounce rate up 37% since 15:05, password-reset sends stuck in queue. Mostly eu-west-1 traffic from what we can tell. Paging felt premature so filing here."
Core Platform,"Issue summary: Rate limiter misconfiguration throttling legitimate traffic at 5200 rps
Affected area: production
Description: Rate limiter misconfiguration throttling legitimate traffic at 5200 rps, retry storms building. Retried after clearing cache, no change. Started around 22:00 UTC.
Impact: Widespread, still growing
First noticed: 07:15 UTC"
Streaming Platform,"quick flag: seeing this on manifest-service - manifest endpoints returning intermittent 5xx since the cache TTL change, 12% of fetches affected. started around 01:45 utc. happy to hop on a call."
Content Discovery,"hey folks, recommendation-service: recommendation-api OOMKilled with the model cache at 132MB, restarts climbing. reference sf-2604 from an earlier report that looks related. roughly 11% of attempts are affected. who owns this?"
Identity Platform,"Paraphrasing the page we just got: device-auth-service (SEV2) - device token issuance p99 at 2500ms and set-top boxes retry-storming. Runbook link was stale, routing to you."
Identity Platform,"Paraphrasing the page we just got: device-auth-service (SEV2) - device token issuance p99 at 1800ms and set-top boxes retry-storming. Runbook link was stale, routing to you."
Data Platform,"Issue summary: Ranking endpoint p99 at 2400ms with 17% inference errors after the model refresh
Affected area: ml-ranking-service (prod)
Description: Ranking endpoint p99 at 2400ms with 17% inference errors after the model refresh. Happens on both web and the TV app. Mostly ap-south-1 traffic from what we can tell.
Impact: Revenue impacting
First noticed: 07:00 UTC"
Core Platform,"Issue summary: Half the app shows the new layout and half the old one
Affected area: production
Description: Half the app shows the new layout and half the old one, it flips between refreshes.
Impact: Revenue impacting
First noticed: 01:25 UTC"
Identity Platform,"Issue summary: I cannot log in at all
Affected area: auth-service
Description: I cannot log in at all, it says my credentials are wrong but a password reset did not help. Impact is still growing per the last check.
Impact: Multiple customers affected
First noticed: 18:35 UTC"
Data Platform,"Alertmanager fired and here is the summary: event-ingestion-service (SEV2) - ingest topic backlog at 18M events, consumer lag growing 74k per minute. Roughly 12% of attempts are affected. Impact is still growing per the last check. Runbook link was stale, routing to you."
Monetization Platform,"Paraphrasing the page we just got: billing-service (SEV3) - payments.idempotency.window_minutes regressed from 60 to 5 and the duplicate capture detector is firing. Started around 01:15 UTC. First noticed by the SEV2 bridge during triage. Runbook link was stale, routing to you."
Identity Platform,"Issue summary: Redis hot key on session:tenant:enterprise-admins at 92k ops/s
Affected area: production
Description: Redis hot key on session:tenant:enterprise-admins at 92k ops/s, Redis p99 1800ms, enterprise logins degraded.
Impact: Revenue impacting
First noticed: 04:40 UTC"
User Engagement,"On-call summary from the last page: ratings-service (SEV2) - ratings ingestion lagging 54m, thumbs signals not persisting downstream. Roughly 36% of attempts are affected. Impact is still growing per the last check. Auto-remediation did not kick in."
Identity Platform,fyi - seeing this on auth-service - login queue depth at 9300 with MFA verification latency 1800ms and the HPA already at max replicas. happens on both web and the tv app. started around 00:45 utc. cc on-call.
Data Platform,"Issue summary: Ranking endpoint p99 at 3420ms with 25% inference errors after the model refresh
Affected area: ml-ranking-service
Description: Ranking endpoint p99 at 3420ms with 25% inference errors after the model refresh. Roughly 17% of attempts are affected.
Impact: Widespread, still growing
First noticed: 13:45 UTC"
Monetization Platform,"Subject: Urgent: service degradation

To whom it may concern, I cancelled last week but it still says my subscription renews tomorrow.
Roughly 19% of attempts are affected. A restart made it better for about ten minutes.
Please advise.
- Tunde"
Streaming Platform,"Issue summary: Captions will not turn on at all for some shows even though the setting is enabled
Affected area: subtitle-service
Description: Captions will not turn on at all for some shows even though the setting is enabled. Nothing obvious in the last deploy diff.
Impact: Widespread, still growing
First noticed: 02:30 UTC"
Identity Platform,"not sure if known, but device-auth-service: device activation code validation failing, 26% of TV sign-ins erroring since the 06:45 deploy. retried after clearing cache, no change. who owns this?"
Content Discovery,"Subject: Help needed - production issue

To whom it may concern, My continue watching row vanished and my list order is completely scrambled.
Started around 17:00 UTC.
Hope this can be sorted soon.
- Priya"
Content Discovery,"Issue summary: My continue watching row vanished and my list order is completely scrambled
Affected area: production
Description: My continue watching row vanished and my list order is completely scrambled. Nothing obvious in the last deploy diff.
Impact: Widespread, still growing
First noticed: 13:35 UTC"
Core Platform,"Issue summary: Assignment cache stampede at 1200 rps after the deploy
Affected area: experiment-service
Description: Assignment cache stampede at 1200 rps after the deploy, allocation service saturated.
Impact: Revenue impacting
First noticed: 17:55 UTC"
Monetization Platform,"Issue summary: My payment keeps failing at checkout even though the card works everywhere else
Affected area: payment-service (prod)
Description: My payment keeps failing at checkout even though the card works everywhere else. Happens on both web and the TV app.
Impact: Widespread, still growing
First noticed: 14:45 UTC"
Identity Platform,"raising this here first: account-service in prod: account detail lookups slow at 1800ms p99, downstream callers timing out. a restart made it better for about ten minutes. cc on-call."
Monetization Platform,"Paraphrasing the page we just got: payment-service (SEV3) - payment-gateway authorizations timing out at 1800ms on 17% of attempts, retries piling up. Runbook link was stale, routing to you."
Monetization Platform,Paraphrasing the page we just got: invoice-service (SEV1) - invoice PDFs rendering with the wrong tax lines after the template deploy. First noticed by the SEV2 bridge during triage. Needs an owner before it breaches further.
Streaming Platform,"Translating the alert for this queue: cdn-routing-service (SEV1) - edge selection is routing ap-south-1 viewers to a distant POP, rebuffer ratio up 32%. Needs an owner before it breaches further."
Monetization Platform,"On-call summary from the last page: invoice-service (SEV1) - invoice generation job has been failing since 04:05, 74 invoices stuck in pending. Needs an owner before it breaches further."
Data Platform,"anyone else seeing this? analytics-service: nightly aggregation job failed 6 times in a row, exec dashboards stale by 34h. started around 08:20 utc. will open a ticket if it persists."
Monetization Platform,"Monitoring picked this up a few minutes ago: subscription-service (SEV3) - plan-change events are not applying, 3200 accounts stuck between tiers since the deploy. Reference SF-6035 from an earlier report that looks related. Paging felt premature so filing here."
Monetization Platform,"Issue summary: Payment-gateway authorizations timing out at 2500ms on 22% of attempts
Affected area: payment-service
Description: Payment-gateway authorizations timing out at 2500ms on 22% of attempts, retries piling up. A restart made it better for about ten minutes.
Impact: Revenue impacting
First noticed: 00:05 UTC"
Core Platform,"Issue summary: Config rollout stuck at 13%
Affected area: config-service (prod)
Description: Config rollout stuck at 13%, flags not propagating and pods holding stale values. Started around 03:15 UTC.
Impact: Revenue impacting
First noticed: 05:15 UTC"
User Engagement,"Issue summary: My thumbs-up ratings do not stick
Affected area: ratings-service
Description: My thumbs-up ratings do not stick, everything resets when I reopen the app. Reference SF-9327 from an earlier report that looks related.
Impact: Widespread, still growing
First noticed: 06:05 UTC"
